Name,sitetracker__st_Purchase_Order__r.Name,sitetracker__st_Job__r.sitetracker__Job_Number__c,Work_Item_Code__c,sitetracker__Quantity__c,sitetracker__Unit_Price__c,sitetracker__Amount__c,sitetracker__st_Cost_Category__r.Name
POL-0001,PO-2026-0117,JOB-04401,AER-STRAND,2400,2.15,5160.00,Construction
POL-0002,PO-2026-0117,JOB-04402,AER-FIBER,2400,1.85,4440.00,Construction
POL-0003,PO-2026-0117,JOB-04403,SPL-FUSION,96,38.00,3648.00,Labor
POL-0004,PO-2026-0117,JOB-04404,MR-POLE,7,1250.00,8750.00,Labor
POL-0005,PO-2026-0117,JOB-04405,AER-STRAND,1850,2.15,3977.50,Construction
POL-0006,PO-2026-0117,JOB-04406,AER-FIBER,1850,1.85,3422.50,Construction
POL-0007,PO-2026-0117,JOB-04407,SPL-CASE,3,425.00,1275.00,Labor
POL-0008,PO-2026-0117,JOB-04408,DIR-BORE,420,14.50,6090.00,Construction
POL-0009,PO-2026-0117,JOB-04409,UG-FIBER,420,3.40,1428.00,Construction
POL-0010,PO-2026-0117,JOB-04410,HH-SET,4,890.00,3560.00,Construction
POL-0011,PO-2026-0117,JOB-04411,RESTORE,420,6.75,2835.00,Construction
POL-0012,PO-2026-0117,JOB-04413,SPL-FUSION,72,38.00,2736.00,Labor
POL-0013,PO-2026-0117,JOB-04414,AER-STRAND,3100,2.15,6665.00,Construction
POL-0014,PO-2026-0117,JOB-04415,AER-FIBER,3100,1.85,5735.00,Construction
POL-0015,PO-2026-0117,JOB-04416,PED-SET,6,610.00,3660.00,Construction
POL-0016,PO-2026-0117,JOB-04417,MR-POLE,9,1250.00,11250.00,Labor
POL-0017,PO-2026-0117,JOB-04418,DIR-BORE,260,14.50,3770.00,Construction
POL-0018,PO-2026-0117,JOB-04419,UG-FIBER,260,3.40,884.00,Construction
POL-0019,PO-2026-0117,JOB-04420,HH-SET,2,890.00,1780.00,Construction
POL-0020,PO-2026-0117,JOB-04421,SPL-CASE,2,425.00,850.00,Labor
POL-0021,PO-2026-0117,JOB-04422,RESTORE,260,6.75,1755.00,Construction
POL-0022,PO-2026-0117,JOB-04423,AER-STRAND,1500,2.15,3225.00,Construction
POL-0023,PO-2026-0117,JOB-04426,AER-FIBER,1500,1.85,2775.00,Construction
POL-0024,PO-2026-0117,JOB-04427,DIR-BORE,580,14.50,8410.00,Construction
POL-0025,PO-2026-0117,JOB-04428,UG-FIBER,580,3.40,1972.00,Construction
POL-0026,PO-2026-0117,JOB-04429,MR-POLE,12,1250.00,15000.00,Labor
POL-0027,PO-2026-0117,JOB-04430,HH-SET,5,890.00,4450.00,Construction
POL-0028,PO-2026-0117,JOB-04431,RESTORE,580,6.75,3915.00,Construction
POL-0029,PO-2026-0117,JOB-04432,SPL-CASE,4,425.00,1700.00,Labor
POL-0030,PO-2026-0117,JOB-04433,AER-STRAND,2750,2.15,5912.50,Construction
POL-0031,PO-2026-0117,JOB-04434,SPL-FUSION,120,38.00,4560.00,Labor
POL-0032,PO-2026-0117,JOB-04435,UG-FIBER,900,3.40,3060.00,Construction
POL-0033,PO-2026-0117,JOB-04436,DIR-BORE,900,14.50,13050.00,Construction
POL-0034,PO-2026-0117,JOB-04437,MR-POLE,8,1250.00,10000.00,Labor
POL-0035,PO-2026-0117,JOB-04438,PED-SET,3,610.00,1830.00,Construction
POL-0036,PO-2026-0117,JOB-04439,SPL-FUSION,24,38.00,912.00,Labor
POL-0037,PO-2026-0117,JOB-04440,RESTORE,140,6.75,945.00,Construction
POL-0038,PO-2026-0117,JOB-04441,AER-FIBER,310,1.85,573.50,Construction
POL-0039,PO-2026-0117,JOB-04442,SPL-CASE,1,425.00,425.00,Labor
POL-0040,PO-2026-0117,JOB-04443,HH-SET,1,890.00,890.00,Construction
